Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
mpaA	FJKNNBLA_01336	b1326	1388967	1388239	-1	P0ACV6	murein tripeptide amidase A
ycjY	FJKNNBLA_01338	b1327	1390222	1389302	-1	P76049	putative hydrolase YcjY
pgrR	FJKNNBLA_01339	b1328	1390360	1391259	1	P77333	DNA-binding transcriptional repressor PgrR
mppA	FJKNNBLA_01340	b1329	1391596	1393209	1	P77348	murein tripeptide ABC transporter periplasmic binding protein
ynaI	FJKNNBLA_01341	b1330	1394291	1393260	-1	P0AEB5	small conductance mechanosensitive channel YnaI
ynaJ	FJKNNBLA_01342	b1332	1394535	1394792	1	P64445	DUF2534 domain-containing protein YnaJ
uspE	FJKNNBLA_01343	b1333	1395792	1394842	-1	P0AAC0	universal stress protein E
fnr	FJKNNBLA_01344	b1334	1396696	1395944	-1	P0A9E5	DNA-binding transcriptional dual regulator FNR
ogt	FJKNNBLA_01345	b1335	1397406	1396891	-1	P0AFH0	methylated-DNA--[protein
abgT	FJKNNBLA_01346	b1336	1398943	1397417	-1	P46133	p-aminobenzoyl glutamate:H(+) symporter
abgB	FJKNNBLA_01347	b1337	1400425	1398980	-1	P76052	p-aminobenzoyl-glutamate hydrolase subunit B
abgA	FJKNNBLA_01348	b1338	1401735	1400425	-1	P77357	p-aminobenzoyl-glutamate hydrolase subunit A
abgR	FJKNNBLA_01349	b1339	1401911	1402819	1	P77744	putative LysR-type DNA-binding transcriptional regulator AbgR
smrA	FJKNNBLA_01350	b1340	1403149	1403712	1	P76053	DNA endonuclease SmrA
dgcM	FJKNNBLA_01351	b1341	1404965	1403733	-1	P77302	diguanylate cyclase DgcM
zntB	FJKNNBLA_01352	b1342	1405220	1406203	1	P64423	Zn(2(+)):H(+)symporter
dbpA	FJKNNBLA_01354	b1343	1406681	1408054	1	P21693	ATP-dependent RNA helicase DbpA
ttcA	FJKNNBLA_01355	b1344	1409118	1408183	-1	P76055	tRNA cytosine(32)2-sulfurtransferase TtcA
intR	FJKNNBLA_01356	b1345	1410405	1409170	-1	P76056	Rac prophage;putative integrase
ydaQ	FJKNNBLA_01357	b1346	1410622	1410407	-1	P76057	Rac prophage;excisionase
rcbA	FJKNNBLA_01358	b1347	1410910	1410701	-1	P33230	Rac prophage;double-strand break reduction protein
recT	FJKNNBLA_01359	b1349	1411963	1411154	-1	P33228	Rac prophage;recombinase RecT
recE	FJKNNBLA_01360	b1350	1414556	1411956	-1	P15032	Rac prophage;exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific
racC	FJKNNBLA_01361	b1351	1414933	1414658	-1	P15033	Rac prophage;protein RacC
ydaE	FJKNNBLA_01362	b4526	1415178	1415008	-1	P38394	Rac prophage;zinc-binding protein
kilR	FJKNNBLA_01363	b1352	1415399	1415178	-1	P38393	Rac prophage;inhibitor of FtsZ
sieB	FJKNNBLA_01364	b1353	1415718	1416329	1	P38392	Rac prophage;phage superinfection exclusion protein
ydaF	FJKNNBLA_01365	b4527	1416481	1416326	-1	P0ACW0	Rac prophage;DUF1391 domain-containing protein YdaF
FJKNNBLA_01367	FJKNNBLA_01367	N/A	1416842	1417186	1	N/A	['hypothetical protein']
FJKNNBLA_01368	FJKNNBLA_01368	N/A	1417424	1417152	-1	N/A	['hypothetical protein']
rrrQ	FJKNNBLA_01369	b1554	1417530	1418063	1	P76159	Qin prophage;putative lysozyme
trkG	FJKNNBLA_01371	b1363	1418695	1420119	1	P23849	Rac prophage;K(+) transporter TrkG
FJKNNBLA_01372	FJKNNBLA_01372	N/A	1420257	1420688	1	N/A	['hypothetical protein']
FJKNNBLA_01373	FJKNNBLA_01373	N/A	1420793	1421557	1	N/A	['hypothetical protein']
FJKNNBLA_01374	FJKNNBLA_01374	N/A	1421656	1423881	1	N/A	['hypothetical protein']
FJKNNBLA_01375	FJKNNBLA_01375	N/A	1423878	1424156	1	N/A	['hypothetical protein']
FJKNNBLA_01376	FJKNNBLA_01376	N/A	1424169	1424462	1	N/A	['hypothetical protein']
pinQ	FJKNNBLA_01377	b1545	1425280	1424690	-1	P77170	Qin prophage;putative recombinase PinQ
ydfK	FJKNNBLA_01378	b1544	1425830	1425597	-1	P76154	Qin prophage;cold shock protein YdfK
uspF	FJKNNBLA_01379	b1376	1427225	1426791	-1	P37903	nucleotide binding filament protein
ompN	FJKNNBLA_01380	b1377	1428499	1427366	-1	P77747	outer membrane porin N
ydbK	FJKNNBLA_01381	b1378	1432390	1428866	-1	P52647	putative pyruvate-flavodoxin oxidoreductase
ydbJ	FJKNNBLA_01382	b4529	1432664	1432930	1	P0ACW2	DUF333 domain-containing protein YdbJ
hslJ	FJKNNBLA_01383	b1379	1433349	1432927	-1	P52644	lipoprotein implicated in Novobiocin resistance
ldhA	FJKNNBLA_01384	b1380	1434449	1433460	-1	P52643	D-lactate dehydrogenase
ydbH	FJKNNBLA_01385	b1381	1434657	1437296	1	P52645	PF11739 family protein YdbH
ynbE	FJKNNBLA_01386	b1382	1437293	1437478	1	P64448	lipoprotein YnbE
ydbL	FJKNNBLA_01387	b1383	1437486	1437812	1	P76076	DUF1318 domain-containing protein YdbL
feaR	FJKNNBLA_01388	b1384	1438889	1437984	-1	Q47129	DNA-binding transcriptional activator FeaR
feaB	FJKNNBLA_01389	b1385	1439125	1440624	1	P80668	phenylacetaldehyde dehydrogenase
ydbD	FJKNNBLA_01394	b1407	1444478	1446784	1	P25907	DUF2773 domain-containing protein YdbD
ynbA	FJKNNBLA_01395	b1408	1446955	1447560	1	P76090	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA
ynbB	FJKNNBLA_01396	b1409	1447560	1448456	1	P76091	putative CDP-diglyceride synthase
ynbC	FJKNNBLA_01397	b1410	1448472	1450229	1	P76092	hydrolase/methyltransferase domain-containing protein YnbC
ynbD	FJKNNBLA_01398	b1411	1450219	1451535	1	P76093	phosphatase domain-containing protein YnbD
azoR	FJKNNBLA_01399	b1412	1452191	1451586	-1	P41407	FMN dependent NADH:quinone oxidoreductase
hrpA	FJKNNBLA_01400	b1413	1452392	1456294	1	P43329	ATP-dependent RNA helicase HrpA
ydcF	FJKNNBLA_01401	b1414	1456566	1457366	1	P34209	DUF218 domain-containing protein YdcF
aldA	FJKNNBLA_01402	b1415	1457563	1459002	1	P25553	aldehyde dehydrogenase A
gapA	FJKNNBLA_01403	b1779	1460045	1459044	-1	P0A9B2	glyceraldehyde-3-phosphate dehydrogenase A
cybB	FJKNNBLA_01406	b1418	1461011	1461541	1	P0ABE5	superoxide oxidase
ydcA	FJKNNBLA_01407	b1419	1461786	1461959	1	P0ACW4	protein YdcA
trg	FJKNNBLA_01409	b1421	1462579	1464219	1	P05704	methyl-accepting chemotaxis protein Trg
ydcI	FJKNNBLA_01410	b1422	1465180	1464257	-1	P77171	DNA-binding transcriptional dual regulator YdcI
ydcJ	FJKNNBLA_01411	b1423	1465397	1466740	1	P76097	DUF1338 domain-containing protein YdcJ
mdoD	FJKNNBLA_01412	b1424	1467001	1468620	1	P40120	glucan biosynthesis protein D
ydcH	FJKNNBLA_01413	b1426	1468760	1468984	1	P0ACW6	protein YdcH
rimL	FJKNNBLA_01414	b1427	1469047	1469586	1	P13857	ribosomal-protein-L12-serine N-acetyltransferase
ydcK	FJKNNBLA_01415	b1428	1470558	1469578	-1	P76100	putative enzyme YdcK
tehA	FJKNNBLA_01416	b1429	1470682	1471674	1	P25396	tellurite resistance protein
tehB	FJKNNBLA_01417	b1430	1471671	1472264	1	P25397	tellurite methyltransferase
ydcL	FJKNNBLA_01418	b1431	1472567	1473235	1	P64451	DUF3313 domain-containing lipoprotein YdcL
insQ	FJKNNBLA_01420	b1432	1473827	1474975	1	P76102	putative insertion element transposase InsQ
ydcO	FJKNNBLA_01421	b1433	1476190	1475015	-1	P76103	putative transport protein YdcO
sutR	FJKNNBLA_01422	b1434	1476282	1476818	1	P77626	DNA-binding transcriptional dual regulator SutR
rlhA	FJKNNBLA_01423	b1435	1476891	1478852	1	P76104	23S rRNA 5-hydroxycytidine synthase
yncJ	FJKNNBLA_01424	b1436	1479114	1478944	-1	P64459	protein YncJ
hicA	FJKNNBLA_01425	b4532	1479396	1479572	1	P76106	toxin of the HicA-HicB toxin-antitoxin system
hicB	FJKNNBLA_01426	b1438	1479597	1480034	1	P67697	antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB
ydcR	FJKNNBLA_01427	b1439	1480113	1481519	1	P77730	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
ydcS	FJKNNBLA_01428	b1440	1481764	1482909	1	P76108	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase
ydcT	FJKNNBLA_01429	b1441	1482927	1483940	1	P77795	putative ABC transporter ATP-binding protein YdcT
ydcU	FJKNNBLA_01430	b1442	1483941	1484882	1	P77156	putative ABC transporter membrane subunit YdcU
ydcV	FJKNNBLA_01431	b1443	1484872	1485666	1	P0AFR9	putative ABC transporter membrane subunit YdcV
patD	FJKNNBLA_01432	b1444	1485688	1487112	1	P77674	gamma-aminobutyraldehyde dehydrogenase
ortT	FJKNNBLA_01433	b1445	1487499	1487672	1	P64453	orphan toxin OrtT
ydcY	FJKNNBLA_01434	b1446	1487758	1487991	1	P64455	DUF2526 domain-containing protein YdcY
ydcZ	FJKNNBLA_01435	b1447	1488441	1487992	-1	P76111	putative inner membrane protein YdcZ
mnaT	FJKNNBLA_01436	b1448	1488956	1488438	-1	P76112	L-amino acid N-acyltransferase
curA	FJKNNBLA_01437	b1449	1489137	1490174	1	P76113	NADPH-dependent curcumin/dihydrocurcumin reductase
mcbR	FJKNNBLA_01438	b1450	1490372	1491037	1	P76114	DNA-binding transcriptional dual regulator McbR
yncD	FJKNNBLA_01439	b1451	1493175	1491073	-1	P76115	putative TonB-dependent outer membrane receptor
yncE	FJKNNBLA_01440	b1452	1493417	1494478	1	P76116	PQQ-like domain-containing protein YncE
ansP	FJKNNBLA_01441	b1453	1496092	1494593	-1	P77610	L-asparagine transporter
yncG	FJKNNBLA_01442	b1454	1496359	1496976	1	P76117	putative glutathione S-transferase YncG
yncH	FJKNNBLA_01443	b1455	1497052	1497264	1	P76118	DUF5445 domain-containing protein YncH
FJKNNBLA_01444	FJKNNBLA_01444	N/A	1498084	1500210	1	N/A	['hypothetical protein']
rhsD	FJKNNBLA_01445	b0497	1500277	1504500	1	P16919	protein RhsD
ydcD	FJKNNBLA_01446	b1457	1504484	1504966	1	P31991	uncharacterized protein YdcD
pptA	FJKNNBLA_01449	b1461	1507202	1507429	1	P31992	tautomerase PptA
yddH	FJKNNBLA_01450	b1462	1508002	1507433	-1	P76121	flavin reductase-like protein YddH
nhoA	FJKNNBLA_01451	b1463	1508175	1509020	1	P77567	arylamine N-acetyltransferase
narV	FJKNNBLA_01454	b1465	1510768	1510088	-1	P0AF32	nitrate reductase Z subunit gamma
narW	FJKNNBLA_01455	b1466	1511460	1510765	-1	P19317	NarW, putative private chaperone for NarZ nitrate reductase subunit
narY	FJKNNBLA_01456	b1467	1513004	1511460	-1	P19318	nitrate reductase Z subunit beta
narZ	FJKNNBLA_01457	b1468	1516741	1513001	-1	P19319	nitrate reductase Z subunit alpha
narU	FJKNNBLA_01458	b1469	1518211	1516823	-1	P37758	nitrate/nitrite transporter NarU
yddL	FJKNNBLA_01461	b1472	1520179	1519889	-1	P77519	putative uncharacterized protein YddL
yddG	FJKNNBLA_01462	b1473	1521262	1520438	-1	P46136	amino acid exporter YddG
fdnG	FJKNNBLA_01463	b1474	1521551	1522138	1	P24183	formate dehydrogenase N subunit alpha
fdnG	FJKNNBLA_01464	b1474	1522187	1524598	1	P24183	formate dehydrogenase N subunit alpha
fdnH	FJKNNBLA_01465	b1475	1524611	1525495	1	P0AAJ3	formate dehydrogenase N subunit beta
fdnI	FJKNNBLA_01466	b1476	1525488	1526141	1	P0AEK7	formate dehydrogenase N subunit gamma
yddM	FJKNNBLA_01467	b1477	1526620	1526336	-1	P67699	DNA-binding transcriptional regulator YddM
adhP	FJKNNBLA_01468	b1478	1527776	1526766	-1	P39451	ethanol dehydrogenase/alcohol dehydrogenase
maeA	FJKNNBLA_01469	b1479	1529607	1527910	-1	P26616	NAD(+)-dependent malate dehydrogenase
sra	FJKNNBLA_01470	b1480	1529901	1529764	-1	P68191	30S ribosomal subunit protein S22
bdm	FJKNNBLA_01471	b1481	1530218	1530003	-1	P76127	biofilm-dependent modulation protein
osmC	FJKNNBLA_01472	b1482	1530563	1530994	1	P0C0L2	osmotically inducible peroxiredoxin OsmC
ddpF	FJKNNBLA_01473	b1483	1531976	1531050	-1	P77622	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF
ddpD	FJKNNBLA_01474	b1484	1532955	1531969	-1	P77268	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD
ddpC	FJKNNBLA_01475	b1485	1533848	1532952	-1	P77463	putative D,D-dipeptide ABC transporter membrane subunit DdpC
ddpB	FJKNNBLA_01476	b1486	1534867	1533845	-1	P77308	putative D,D-dipeptide ABC transporter membrane subunit DdpB
ddpA	FJKNNBLA_01477	b1487	1536419	1534869	-1	P76128	putative D,D-dipeptide ABC transporter periplasmic binding protein
ddpX	FJKNNBLA_01478	b1488	1537014	1536433	-1	P77790	D-alanyl-D-alanine dipeptidase
dosP	FJKNNBLA_01479	b1489	1539671	1537272	-1	P76129	oxygen-sensing c-di-GMP phosphodiesterase DosP
dosC	FJKNNBLA_01480	b1490	1541078	1539696	-1	P0AA89	diguanylate cyclase DosC
digH	FJKNNBLA_01481	b1491	1542774	1541455	-1	P64426	divisome localized glycosyl hydrolase
gadC	FJKNNBLA_01482	b1492	1544440	1542905	-1	P63235	L-glutamate:4-aminobutyrate antiporter
gadB	FJKNNBLA_01483	b1493	1545996	1544596	-1	P69910	glutamate decarboxylase B
pqqL	FJKNNBLA_01484	b1494	1549141	1546358	-1	P31828	periplasmic metalloprotease
yddB	FJKNNBLA_01485	b1495	1551570	1549198	-1	P31827	putative TonB-dependent receptor YddB
yddA	FJKNNBLA_01486	b1496	1553293	1551608	-1	P31826	ABC transporter family protein YddA
ydeM	FJKNNBLA_01487	b1497	1554741	1553584	-1	P76134	putative anaerobic sulfatase maturation enzyme YdeM
ydeN	FJKNNBLA_01488	b1498	1556475	1554793	-1	P77318	putative sulfatase YdeN
ydeO	FJKNNBLA_01489	b1499	1557638	1556877	-1	P76135	DNA-binding transcriptional dual regulator YdeO
safA	FJKNNBLA_01490	b1500	1557910	1557713	-1	P76136	two-component system connector SafA
ydeP	FJKNNBLA_01491	b1501	1560437	1558158	-1	P77561	putative oxidoreductase YdeP
ydeQ	FJKNNBLA_01492	b1502	1561685	1560771	-1	P77588	putative fimbrial adhesin protein YdeQ
ydeR	FJKNNBLA_01493	b1503	1562247	1561744	-1	P77294	putative fimbrial protein YdeR
ydeS	FJKNNBLA_01494	b1504	1562790	1562260	-1	P77789	putative fimbrial protein YdeS
ydeT	FJKNNBLA_01495	b1505	1563952	1562804	-1	P76137	fimbrial usher domain-containing protein YdeT
fimD	FJKNNBLA_01496	b4317	1565149	1564016	-1	P30130	type I fimbriae usher protein
fimD	FJKNNBLA_01497	b4317	1565454	1565104	-1	P30130	type I fimbriae usher protein
FJKNNBLA_01500	FJKNNBLA_01500	N/A	1567049	1566567	-1	N/A	['hypothetical protein']
hipA	FJKNNBLA_01501	b1507	1568743	1567421	-1	P23874	serine/threonine-protein kinase toxin HipA
hipB	FJKNNBLA_01502	b1508	1569009	1568743	-1	P23873	antitoxin/DNA-binding transcriptional repressor HipB
lsrB	FJKNNBLA_01505	b1516	1571596	1572618	1	P76142	Autoinducer-2 ABC transporter periplasmic binding protein
lsrF	FJKNNBLA_01506	b1517	1572645	1573520	1	P76143	3-hydroxy-2,4-pentadione 5-phosphate thiolase
lsrG	FJKNNBLA_01507	b1518	1573544	1573834	1	P64461	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
tam	FJKNNBLA_01508	b1519	1573891	1574649	1	P76145	trans-aconitate 2-methyltransferase
yneE	FJKNNBLA_01509	b1520	1575567	1574653	-1	P76146	PF01062 family inner membrane protein YneE
uxaB	FJKNNBLA_01510	b1521	1577225	1575774	-1	P0A6L7	tagaturonate reductase
FJKNNBLA_01511	FJKNNBLA_01511	N/A	1578870	1577452	-1	N/A	['hypothetical protein']
yneG	FJKNNBLA_01512	b1523	1579368	1579009	-1	P76148	DUF4186 domain-containing protein YneG
glsA2	FJKNNBLA_01513	b1524	1580294	1579368	-1	P0A6W0	glutaminase 2
sad	FJKNNBLA_01514	b1525	1581746	1580358	-1	P76149	succinate semialdehyde dehydrogenase (NAD(P)(+)) Sad
yneJ	FJKNNBLA_01515	b1526	1581847	1582728	1	P77309	putative LysR-type DNA-binding transcriptional regulator YneJ
yneK	FJKNNBLA_01516	b1527	1582806	1583921	1	P76150	protein YneK
sotB	FJKNNBLA_01517	b1528	1584071	1585261	1	P31122	L-arabinose exporter
marC	FJKNNBLA_01518	b1529	1585951	1585286	-1	P0AEY1	inner membrane protein MarC
higA1	FJKNNBLA_01519	N/A	1586356	1586072	-1	P9WJA7	['Antitoxin HigA1']
FJKNNBLA_01520	FJKNNBLA_01520	N/A	1586666	1586346	-1	N/A	['hypothetical protein']
marR	FJKNNBLA_01521	b1530	1586886	1587320	1	P27245	DNA-binding transcriptional repressor MarR
marA	FJKNNBLA_01522	b1531	1587340	1587723	1	P0ACH5	DNA-binding transcriptional dual regulator MarA
marB	FJKNNBLA_01523	b1532	1587755	1587973	1	P31121	multiple antibiotic resistance protein MarB
eamA	FJKNNBLA_01524	b1533	1588903	1588004	-1	P31125	cysteine/O-acetylserine exporter EamA
ydeE	FJKNNBLA_01525	b1534	1589098	1590285	1	P31126	dipeptide exporter
mgtS	FJKNNBLA_01526	b4599	1590412	1590507	1	A5A616	small protein MgtS
dgcZ	FJKNNBLA_01527	b1535	1591616	1590726	-1	P31129	diguanylate cyclase DgcZ
ydeI	FJKNNBLA_01528	b1536	1592263	1591871	-1	P31130	BOF family protein YdeI
ydeJ	FJKNNBLA_01529	b1537	1592539	1593057	1	P31131	PF02464 family protein YdeJ
dcp	FJKNNBLA_01530	b1538	1595146	1593101	-1	P24171	peptidyl-dipeptidase Dcp
ydfG	FJKNNBLA_01531	b1539	1595283	1596029	1	P39831	3-hydroxy acid dehydrogenase YdfG
rspR	FJKNNBLA_01532	b1540	1596118	1596804	1	P0ACM2	DNA-binding transcriptional repressor YdfH
ydfZ	FJKNNBLA_01533	b1541	1596981	1597184	1	P64463	putative selenoprotein YdfZ
ydfI	FJKNNBLA_01534	b1542	1598680	1597220	-1	P77260	putative oxidoreductase YdfI
ydfK	FJKNNBLA_01536	b1544	1600838	1601071	1	P76154	Qin prophage;cold shock protein YdfK
pinR	FJKNNBLA_01537	b1374	1601387	1601977	1	P0ADI0	Rac prophage;putative site-specific recombinase
FJKNNBLA_01538	FJKNNBLA_01538	N/A	1602498	1602205	-1	N/A	['hypothetical protein']
FJKNNBLA_01539	FJKNNBLA_01539	N/A	1603213	1602509	-1	N/A	['hypothetical protein']
FJKNNBLA_01540	FJKNNBLA_01540	N/A	1603504	1603223	-1	N/A	['hypothetical protein']
FJKNNBLA_01541	FJKNNBLA_01541	N/A	1605882	1603504	-1	N/A	['hypothetical protein']
ompX	FJKNNBLA_01542	N/A	1606546	1605947	-1	P0A917	['Outer membrane protein X']
ybcW	FJKNNBLA_01546	b0559	1609504	1609298	-1	P64435	DLP12 prophage;uncharacterized protein YbcW
gnsB	FJKNNBLA_01547	b1550	1609973	1609800	-1	P77695	Qin prophage;protein GnsB
cspI	FJKNNBLA_01548	b1552	1610863	1610648	-1	P0A986	Qin prophage;cold shock-like protein CspI
rzpQ	FJKNNBLA_01549	b1553	1611721	1611224	-1	P76158	Qin prophage;DUF2514 domain-containing protein RzpQ
rrrQ	FJKNNBLA_01550	b1554	1612251	1611718	-1	P76159	Qin prophage;putative lysozyme
FJKNNBLA_01551	FJKNNBLA_01551	N/A	1612365	1612625	1	N/A	['hypothetical protein']
FJKNNBLA_01552	FJKNNBLA_01552	N/A	1613124	1612573	-1	N/A	['hypothetical protein']
essD	FJKNNBLA_01553	b0554	1613344	1613129	-1	P0A9R2	DLP12 prophage;putative phage lysis protein
gadW	FJKNNBLA_01554	b3515	1614248	1613535	-1	P63201	DNA-binding transcriptional dual regulator GadW
blc	FJKNNBLA_01559	b4149	1617068	1617592	1	P0A901	outer membrane lipoprotein Blc
quuD	FJKNNBLA_01560	b0551	1618125	1617748	-1	Q47274	DLP12 prophage;prophage antitermination protein Q QuuD
ydfU	FJKNNBLA_01561	b1560	1618793	1618143	-1	P76162	Qin prophage;protein YdfU
rem	FJKNNBLA_01562	b1561	1619391	1619140	-1	P07010	Qin prophage;protein Rem
mokC	FJKNNBLA_01563	b0018	1619820	1619608	-1	P33236	regulatory protein MokC
queH	FJKNNBLA_01564	N/A	1621041	1620376	-1	Q7VYQ1	['Epoxyqueuosine reductase QueH']
FJKNNBLA_01565	FJKNNBLA_01565	N/A	1621328	1621095	-1	N/A	['hypothetical protein']
FJKNNBLA_01566	FJKNNBLA_01566	N/A	1621747	1621325	-1	N/A	['hypothetical protein']
FJKNNBLA_01567	FJKNNBLA_01567	N/A	1622753	1621788	-1	N/A	['hypothetical protein']
FJKNNBLA_01568	FJKNNBLA_01568	N/A	1623255	1622734	-1	N/A	['hypothetical protein']
dicC	FJKNNBLA_01569	b1569	1623466	1623239	-1	P06965	Qin prophage;DNA-binding transcriptional regulator for DicB
dicA	FJKNNBLA_01570	b1570	1623739	1623954	1	P06966	DNA-binding transcriptional dual regulator DicA
ydfA	FJKNNBLA_01571	b1571	1624123	1624275	1	P0ACW8	Qin prophage;DUF1391 domain-containing protein YdfA
FJKNNBLA_01572	FJKNNBLA_01572	N/A	1624287	1624652	1	N/A	['hypothetical protein']
FJKNNBLA_01573	FJKNNBLA_01573	N/A	1624821	1624621	-1	N/A	['hypothetical protein']
dicB	FJKNNBLA_01574	b1575	1625324	1625512	1	P09557	Qin prophage;cell division inhibition protein DicB
ydfD	FJKNNBLA_01575	b1576	1625509	1625700	1	P29010	Qin prophage;lysis protein
FJKNNBLA_01576	FJKNNBLA_01576	N/A	1625794	1628265	1	N/A	['hypothetical protein']
FJKNNBLA_01577	FJKNNBLA_01577	N/A	1628353	1628589	1	N/A	['hypothetical protein']
rspB	FJKNNBLA_01579	b1580	1631110	1630091	-1	P38105	putative zinc-binding dehydrogenase RspB
rspA	FJKNNBLA_01580	b1581	1632336	1631122	-1	P38104	mandelate racemase/muconate lactonizing enzyme family protein RspA
ynfA	FJKNNBLA_01581	b1582	1632868	1632542	-1	P76169	putative transporter YnfA
ynfB	FJKNNBLA_01582	b1583	1633003	1633344	1	P76170	DUF1283 domain-containing protein YnfB
speG	FJKNNBLA_01583	b1584	1633379	1633939	1	P0A951	spermidine N-acetyltransferase
ynfC	FJKNNBLA_01584	b1585	1634688	1633942	-1	P67553	UPF0257 family lipoprotein YnfC
ynfD	FJKNNBLA_01585	b1586	1634760	1635065	1	P76172	DUF1161 domain-containing protein YnfD
ynfE	FJKNNBLA_01586	b1587	1635264	1637690	1	P77374	putative selenate reductase YnfE
ynfF	FJKNNBLA_01587	b1588	1637778	1640174	1	P77783	putative selenate reductase YnfF
ynfG	FJKNNBLA_01588	b1589	1640185	1640802	1	P0AAJ1	putative oxidoreductase YnfG
ynfH	FJKNNBLA_01589	b1590	1640804	1641658	1	P76173	putative menaquinol dehydrogenase
dmsD	FJKNNBLA_01590	b1591	1641701	1642315	1	P69853	redox enzyme maturation protein DmsD
clcB	FJKNNBLA_01591	b1592	1642510	1643766	1	P76175	putative chloride:H(+)antiporter ClcB
bioD2	FJKNNBLA_01592	b1593	1644414	1643719	-1	P0A6E9	putative dethiobiotin synthetase
mlc	FJKNNBLA_01593	b1594	1645759	1644539	-1	P50456	DNA-binding transcriptional repressor Mlc
ynfL	FJKNNBLA_01594	b1595	1646787	1645894	-1	P77559	putative DNA-binding transcriptional regulator
ynfM	FJKNNBLA_01595	b1596	1646894	1648147	1	P43531	putative transporter YnfM
asr	FJKNNBLA_01596	b1597	1648571	1648879	1	P36560	acid shock protein
ydgD	FJKNNBLA_01597	b1598	1649155	1649976	1	P76176	putative serine protease YdgD
mdtI	FJKNNBLA_01598	b1599	1650344	1650015	-1	P69210	multidrug/spermidine efflux pump membrane subunit MdtI
mdtJ	FJKNNBLA_01599	b1600	1650696	1650331	-1	P69212	multidrug/spermidine efflux pump membrane subunit MdtJ
tqsA	FJKNNBLA_01600	b1601	1651108	1652142	1	P0AFS5	autoinducer 2 exporter
pntB	FJKNNBLA_01601	b1602	1653555	1652167	-1	P0AB67	pyridine nucleotide transhydrogenase subunit beta
pntA	FJKNNBLA_01602	b1603	1655098	1653566	-1	P07001	pyridine nucleotide transhydrogenase subunit alpha
ydgH	FJKNNBLA_01603	b1604	1655622	1656566	1	P76177	DUF1471 domain-containing protein YdgH
ydgI	FJKNNBLA_01604	b1605	1656752	1658134	1	P0AAE5	putative arginine:ornithine antiporter
folM	FJKNNBLA_01605	b1606	1658171	1658893	1	P0AFS3	dihydromonapterin reductase
ydgC	FJKNNBLA_01606	b1607	1659225	1658890	-1	P0ACX0	GlpM family protein
rstA	FJKNNBLA_01607	b1608	1659354	1660073	1	P52108	DNA-binding transcriptional regulator RstA
rstB	FJKNNBLA_01608	b1609	1660077	1661378	1	P18392	sensory histidine kinase RstB
tus	FJKNNBLA_01609	b1610	1661454	1662383	1	P16525	DNA replication terminus site-binding protein
fumC	FJKNNBLA_01610	b1611	1663783	1662380	-1	P05042	fumarase C
fumA	FJKNNBLA_01611	b1612	1665572	1663926	-1	P0AC33	fumarase A
manA	FJKNNBLA_01612	b1613	1665771	1666946	1	P00946	mannose-6-phosphate isomerase
